code,de,en
,Ansatz,Area
,Gruppe,Group
0,Vertretungskörper und allgemeine Verwaltung,Representative bodies and general administration
1,Öffentliche Ordnung und Sicherheit,Public order and security
2,"Unterricht, Erziehung, Sport und Wissenschaft","Education, schools, sports, and science"
3,"Kunst, Kultur und Kultus","Art, culture and religion"
4,Soziale Wohlfahrt und Wohnbauförderung,Social welfare and housing promotion
5,Gesundheit,Public health
6,"Straßen- und Wasserbau, Verkehr","Road and hydraulic construction, traffic and transport"
7,Wirtschaftsförderung,Business promotion
8,Dienstleistungen,Services
9,Finanzwirtschaft,Public finance
,Abschnitt,Section
00,Gewählte Gemeindeorgane,Elected municipal representative bodies
01,Hauptverwaltung 1,Central administration 1
02,Hauptverwaltung 2,Central administration 2
03,Bauverwaltung,Public building authority
04,nicht definiert,not defined
05,Bezirksverwaltung,District administration
06,Sonstige Maßnahmen,Other measures
07,Verfügungsmittel,Discretionary funds
08,Pensionen (soweit nicht aufteilbar),Pensions (if not apportionable)
09,Personalbetreuung,Human resources management
10,Gesonderte Verwaltung,Separate administration
11,Öffentliche Ordnung,Public order
12,Sicherheitspolizei,Security police
13,Sonderpolizei,Special police
14,nicht definiert,not defined
15,nicht definiert,not defined
16,Feuerwehrwesen,Fire service
17,Katastrophendienst,Disaster relief service
18,Landesverteidigung,National defence
19,nicht definiert,not defined
20,Gesonderte Verwaltung,Separate administration
21,Allgemeinbildender Unterricht,General education schooling
22,Berufsbildender Unterricht; Anstalten der Lehrer- u. Erziehungsbildung,"Vocational education schooling, teacher training establishments"
23,Förderung des Unterrichtes,Promoting education
24,Vorschulische Erziehung,Preschool education
25,Außerschulische Jugenderziehung,Non-school youth education
26,Sport und außerschulische Leibeserziehung,Sports and non-school physical education
27,Erwachsenenbildung,Adult education
28,Forschung und Wissenschaft,Research and science
29,nicht definiert,not defined
30,Gesonderte Verwaltung,Separate administration
31,Bildende Künste,Fine arts
32,Musik und darstellende Kunst,Music and performing arts
33,Schrifttum und Sprache,Literature and language
34,Museen und sonstige Sammlungen,Museums and other collections
35,Sonstige Kunstpflege,Other art promotion
36,Heimatpflege,Promotion of local heritage
37,"Rundfunk, Presse und Film","Radio, press and film"
38,Sonstige Kulturpflege,Other preservation of cultural heritage
39,Kultus,Religion
40,Gesonderte Verwaltung,Separate administration
41,Allgemeine öffentliche Wohlfahrt,General public welfare
42,Freie Wohlfahrt,Non-statutory welfare
43,Jugendwohlfahrt,Youth welfare
44,Behebung von Notständen,Correction of states of emergency
45,Sozialpolitische Maßnahmen,Sociopolitical measures
46,Familienpolitische Maßnahmen,Family policy measures
47,nicht definiert,not defined
48,Wohnbauförderung,Housing promotion
49,nicht definiert,not defined
50,Gesonderte Verwaltung,Separate administration
51,Gesundheitsdienst,Health service
52,Umweltschutz,Environmental protection
53,Rettungs- und Warndienste,Warning and rescue services
54,Ausbildung im Gesundheitsdienst,Health service training
55,Eigene Krankenanstalten,Own hospitals
56,Krankenanstalten anderer Rechtsträger,Hospitals of other legal entities
57,Heilvorkommen und Kurorte,Natural healing resources and health resorts
58,Veterinärmedizin,Veterinary medicine
59,"Gesundheit, Sonstiges","Health, Other"
60,Gesonderte Verwaltung,Separate administration
61,Straßenbau,Road construction
62,Allgemeiner Wasserbau,General hydraulic engineering
63,Schutzwasserbau,Flood protection engineering
64,Straßenverkehr,Road traffic
65,Schienenverkehr,Railway transport
66,Schiffsverkehr,Shipping traffic
67,Luftverkehr,Air transport
68,Post- und Telekommunikationsverkehr,Postal and telecommunication traffic
69,"Verkehr, Sonstiges","Traffic, Other"
70,Gesonderte Verwaltung,Separate administration
71,Grundlagenverbesserung in der Land- und Forstwirtschaft,Basic improvements in agriculture and forestry
72,nicht definiert,not defined
73,nicht definiert,not defined
74,Sonstige Förderungen der Land- und Forstwirtschaft,Other promotion of agriculture and forestry
75,Förderung der Energiewirtschaft,Promotion of the energy industry
76,nicht definiert,not defined
77,Förderung des Fremdenverkehrs,Promotion of tourism
78,"Förderung von Handel, Gewerbe und Industrie","Promotion of trade, commerce, and industry"
79,nicht definiert,not defined
80,Gesonderte Verwaltung,Separate administration
81,Öffentliche Einrichtungen (soweit nicht dem Abschn. 85 zuzuordnen),Public institutions (to the extent not assignable to Sec. 85)
82,Betriebsähnliche Einrichtungen und Betriebe,Quasi corporations and companies
83,Betriebsähnliche Einrichtungen und Betriebe (Forts.),Quasi corporations and companies (cont.)
84,"Liegenschaften, Wohn- und Geschäftsgebäude","Properties, residential and commercial buildings"
85,Betriebe mit marktbestimmter Tätigkeit,Companies classified as market producers
86,Land- und forstwirtschaftliche Betriebe,Agricultural and forestry holdings
87,Wirtschaftliche Unternehmungen,Business companies
88,Wirtschaftliche Unternehmungen (Forts.),Business companies (cont.)
89,Wirtschaftliche Unternehmungen (Forts.),Business companies (cont.)
90,Gesonderte Verwaltung,Separate administration
91,Kapitalvermögen u. Stiftungen o. eig. Rechtspersönlichkeit,Capital assets and foundations without legal personality
92,Öffentliche Abgaben,Public fees
93,Umlagen,Levies
94,Finanzzuweisungen und Zuschüsse,Financial allocations and grants
95,Nicht aufteilbare Schulden,Non-divisible debts
96,Haftungen (soweit nicht aufteilbar),Liabilities (if not apportionable)
97,Verstärkungsmittel,Reinforcement funds
98,Haushaltsausgleich,Budget balancing
99,"Jahresergebnis etc., Abwicklung der Vorjahre","Annual result etc., processing of previous years' figures"
,Unterabschnitt,Subsection
000,Gewählte Gemeindeorgane,Elected municipal representative bodies
001,nicht definiert,not defined
002,nicht definiert,not defined
003,nicht definiert,not defined
004,nicht definiert,not defined
005,nicht definiert,not defined
006,nicht definiert,not defined
007,nicht definiert,not defined
008,nicht definiert,not defined
009,nicht definiert,not defined
010,Zentralamt,Central administrative office
011,Personalamt,Human resources department
012,Hilfsamt,Assistance office
013,Kanzleiökonomat,Materials management office
014,Gemeindekontrolleinrichtung,Municipal control unit
015,"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit","Press office, official gazette and public relations"
016,Elektronische Datenverarbeitung,Data processing
017,nicht definiert,not defined
018,Geschäftsstelle der Kranken- und Unfallfürsorge,Health and accident welfare office
019,Repräsentation,Entertainment
020,Rechtsamt,Legal office
021,Statistisches Amt,Statistical office
022,Standesamt,Civil registry office
023,Einwohneramt,Residential registry office
024,Wahlamt,Electoral office
025,Staatsbürgerschaft,Citizenship
026,nicht definiert,not defined
027,nicht definiert,not defined
028,nicht definiert,not defined
029,Amtsgebäude,Administrative buildings
030,Bauamt,Building inspection office
031,Amt für Raumordnung und Raumplanung,Urban and regional planning office
032,Vermessungsamt,Land surveying office
033,Hochbauamt,Building construction office
034,Tiefbauamt,Civil engineering office
035,nicht definiert,not defined
036,nicht definiert,not defined
037,nicht definiert,not defined
038,nicht definiert,not defined
039,nicht definiert,not defined
040,nicht definiert,not defined
041,nicht definiert,not defined
042,nicht definiert,not defined
043,nicht definiert,not defined
044,nicht definiert,not defined
045,nicht definiert,not defined
046,nicht definiert,not defined
047,nicht definiert,not defined
048,nicht definiert,not defined
049,nicht definiert,not defined
050,Bezirksverwaltung,District administration
051,nicht definiert,not defined
052,nicht definiert,not defined
053,nicht definiert,not defined
054,nicht definiert,not defined
055,nicht definiert,not defined
056,nicht definiert,not defined
057,nicht definiert,not defined
058,nicht definiert,not defined
059,nicht definiert,not defined
060,"Beiträge an Verbände, Vereine und sonstige Organisationen","Contributions to associations, societies, and other organisations"
061,Sonstige Subventionen,Other subsidies
